"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4083374";"";"None";"352.46";"0";"2.14";"19";"CC1(C)Cc2c(sc(NC(=O)C3(CO)CC3)c2C(N)=O)C(C)(C)O1";"EC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"22.20";"0.45";"5.68";"7.70";"0";"CHEMBL4026937";"Potentiation of CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells incubated for 10 mins in presence of forskolin measured for 7 secs by YFP halide assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024762";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";""
"CHEMBL4059736";"";"None";"374.46";"0";"3.39";"8";"CC1(C)Cc2c(sc(NC(=O)c3ccccc3O)c2C(N)=O)C(C)(C)O1";"EC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"22.43";"0.44";"5.01";"8.26";"0";"CHEMBL4026937";"Potentiation of CFTR F508del mutant (unknown origin) expressed in human CFBE41o cells incubated for 10 mins in presence of forskolin measured for 7 secs by YFP halide assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024762";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";""
"CHEMBL3357140";"";"None";"338.38";"0";"4.22";"44";"CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1F";"EC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"20.69";"0.38";"2.78";"11.30";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL2010601";"IVACAFTOR";"4.0";"392.50";"1";"5.08";"3";"CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O";"EC50";"'='";"236.0";"nM";"6.63";"";"";"UO_0000065";"16.88";"0.31";"1.55";"8.06";"1";"CHEMBL3378880";"Corrector activity at human bronchial epithelium CFTR F508del and G551D mutant assessed as increase in channel gating";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"UNDEFINED MUTATION";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352116";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";""
"CHEMBL3356626";"";"None";"264.28";"0";"2.78";"7";"O=C(Nc1ccccc1)c1c[nH]c2ccccc2c1=O";"EC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"22.27";"0.40";"3.11";"9.50";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL472354";"";"None";"477.41";"1";"5.83";"23";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)cc1";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"10.17";"0.21";"-0.98";"8.43";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL511818";"";"None";"409.41";"0";"4.81";"26";"O=C(O)c1ccccc1/C=C1\SC(=S)N(c2cccc(C(F)(F)F)c2)C1=O";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"11.78";"0.24";"0.01";"8.37";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL512017";"";"None";"409.41";"0";"4.81";"25";"O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)cc1";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"11.78";"0.24";"0.01";"8.37";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL461375";"";"None";"425.41";"0";"4.52";"7";"O=C(O)c1cc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)ccc1O";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"13.76";"0.29";"1.33";"7.52";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL452052";"";"None";"380.35";"0";"4.98";"60";"O=C(O)c1cc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)ccc1O";"IC50";"'='";"32000.0";"nM";"4.50";"";"";"UO_0000065";"11.82";"0.24";"-0.49";"5.45";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL452564";"";"None";"504.49";"0";"3.72";"55";"O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])o2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+]";"IC50";"'='";"27000.0";"nM";"4.57";"";"";"UO_0000065";"9.47";"0.22";"0.85";"4.58";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL488825";"";"None";"410.74";"0";"3.84";"50";"O=C(O)c1ccc(NC2=C(Cl)C(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1";"IC50";"'='";"36000.0";"nM";"4.44";"";"";"UO_0000065";"10.82";"0.22";"0.60";"5.12";"0";"CHEMBL976298";"Inhibition of human wild type CFTR expressed in rat FRT cells assessed as chloride current by short-circuit current measurements";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"FRT";"None";"";"";"";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139397";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL3357142";"";"None";"354.38";"0";"3.92";"46";"CC(C)(C)c1cc(F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O";"EC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"24.55";"0.46";"4.78";"10.58";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356638";"";"None";"304.31";"0";"2.66";"20";"O=C(Nc1ccc2cn[nH]c2c1)c1c[nH]c2ccccc2c1=O";"EC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"17.26";"0.31";"2.59";"5.79";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356633";"";"None";"314.34";"0";"3.93";"14";"O=C(Nc1ccc2ccccc2c1)c1c[nH]c2ccccc2c1=O";"EC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"19.40";"0.35";"2.17";"9.84";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
"CHEMBL3356621";"";"None";"352.44";"1";"5.08";"2";"O=C(c1cnc2ccccc2c1)N(Cc1ccccc1)Cc1ccccc1";"EC50";"'='";"16000.0";"nM";"4.80";"";"";"UO_0000065";"13.61";"0.24";"-0.28";"14.45";"0";"CHEMBL3382095";"Potentiation of human CFTR F508del mutant expressed in mouse NIH-3T3 cells after 30 mins by fluorescent voltage sensing optical assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"P13569";"F508del";"CHEMBL4051";"Cystic fibrosis transmembrane conductance regulator";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352164";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307716";"";""
