Compound ChEMBL ID,Bioactivity Type,Bioactivity Value (nM),Molecular Formula,SMILES,Data_Source,BindingDB Reactant_set_id
CHEMBL5177312,EC50,184.0,C33H45N3O4,COc1ncc(C2CCC2)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL5180378,EC50,159.0,C35H48F3N3O6,COc1ccc(C(C)(C)C)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@@H]2CCCCO2)[C@H]1Cc1cc(C(F)(F)F)cnc1OC,CHEMBL,
CHEMBL5203914,EC50,41.0,C37H52N4O6,COc1ncc(C2CCC2)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@@H]2CCCCO2)[C@H]1Cc1cc(C2CCC2)cnc1OC,CHEMBL,
CHEMBL4586969,EC50,2720.0,C29H27Cl2NO4,CC(C)(C)C1C(C(=O)c2cc(Cl)ccc2Cl)C(c2ccccc2)N(C(=O)c2ccccc2)C1C(=O)O,CHEMBL,
CHEMBL4586969,EC50,2110.0,C29H27Cl2NO4,CC(C)(C)C1C(C(=O)c2cc(Cl)ccc2Cl)C(c2ccccc2)N(C(=O)c2ccccc2)C1C(=O)O,CHEMBL,
CHEMBL4586969,EC50,2720.0,C29H27Cl2NO4,CC(C)(C)C1C(C(=O)c2cc(Cl)ccc2Cl)C(c2ccccc2)N(C(=O)c2ccccc2)C1C(=O)O,CHEMBL,
CHEMBL4586969,EC50,2110.0,C29H27Cl2NO4,CC(C)(C)C1C(C(=O)c2cc(Cl)ccc2Cl)C(c2ccccc2)N(C(=O)c2ccccc2)C1C(=O)O,CHEMBL,
CHEMBL4438246,EC50,2520.0,C29H33Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)C2CCCCC2)[C@@H]1C(=O)O,CHEMBL,
CHEMBL4438246,EC50,2010.0,C29H33Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)C2CCCCC2)[C@@H]1C(=O)O,CHEMBL,
CHEMBL4438246,EC50,2520.0,C29H33Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)C2CCCCC2)[C@@H]1C(=O)O,CHEMBL,
CHEMBL4438246,EC50,2010.0,C29H33Cl2NO4,CC(C)(C)[C@H]1[C@H](C(=O)c2cc(Cl)ccc2Cl)[C@H](c2ccccc2)N(C(=O)C2CCCCC2)[C@@H]1C(=O)O,CHEMBL,
CHEMBL4465098,EC50,1320.0,C31H38F3NO5,COc1ccc(C(F)(F)F)cc1CO[C@@H]1[C@@H](C(C)(C)C)[C@H](C(=O)O)N(C(=O)C2CCCCC2)[C@@H]1c1ccccc1,CHEMBL,
CHEMBL4465098,EC50,20000.0,C31H38F3NO5,COc1ccc(C(F)(F)F)cc1CO[C@@H]1[C@@H](C(C)(C)C)[C@H](C(=O)O)N(C(=O)C2CCCCC2)[C@@H]1c1ccccc1,CHEMBL,
CHEMBL4465098,EC50,1130.0,C31H38F3NO5,COc1ccc(C(F)(F)F)cc1CO[C@@H]1[C@@H](C(C)(C)C)[C@H](C(=O)O)N(C(=O)C2CCCCC2)[C@@H]1c1ccccc1,CHEMBL,
CHEMBL4465098,EC50,1290.0,C31H38F3NO5,COc1ccc(C(F)(F)F)cc1CO[C@@H]1[C@@H](C(C)(C)C)[C@H](C(=O)O)N(C(=O)C2CCCCC2)[C@@H]1c1ccccc1,CHEMBL,
CHEMBL5080252,EC50,920.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,78.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,180.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,30000.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5076850,EC50,329.0,C14H11F3N2O2,COC(=O)c1cc(-c2cccnc2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5085049,EC50,1860.0,C13H11F3N2O2,CNC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5082261,EC50,70.0,C10H11BrF3N3O2,CC(O)CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL4463048,EC50,35.0,C32H41F3N2O6,COc1ncc(C(F)(F)F)cc1CO[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@@H]2CCCCO2)[C@H]1c1ccccc1C(C)C,CHEMBL,
CHEMBL44,EC50,4400.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,8200.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,8480.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,6170.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,14200.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL5084140,EC50,15.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,18.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,43.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,150.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,25.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL2010601,EC50,22.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,1300.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,126.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,11.7,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,49.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,70.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,131.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,68.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,34.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL5171054,EC50,0.9,C30H31N3O5S,COc1ccc(C)cc1C1(C(=O)NS(=O)(=O)c2cccc3nc(C)ccc23)CC1c1cccc(OC(C)C)n1,CHEMBL,
CHEMBL4650318,EC50,47.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,79.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,113.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,497.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,39.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,72.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL1493986,EC50,30000.0,C8H9NO2,COC(=O)c1ccccc1N,CHEMBL,
CHEMBL5088607,EC50,9.0,C12H10F9N3O2,C[C@](O)(CNC(=O)c1nc(C(F)(F)F)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,15.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,18.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,43.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,150.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL5084140,EC50,25.0,C11H10BrF6N3O2,C[C@](O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CHEMBL,
CHEMBL2010601,EC50,22.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,1300.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,126.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,11.7,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,49.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,70.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,131.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,68.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,34.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL4790007,EC50,17.0,C17H17N5O4S2,CN(Cc1ccccc1)S(=O)(=O)c1cc(C(N)=O)c(NC(=O)c2ccn[nH]2)s1,CHEMBL,
CHEMBL5080252,EC50,920.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,78.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,180.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL5080252,EC50,30000.0,C13H10F3NO3,COC(=O)c1cc(-c2ccco2)c(C(F)(F)F)cc1N,CHEMBL,
CHEMBL44,EC50,4400.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,8200.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,8480.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,6170.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL44,EC50,14200.0,C15H10O5,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL,
CHEMBL4650318,EC50,47.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,79.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,113.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,497.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,39.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL4650318,EC50,72.0,C12H13F6N3O3,COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F,CHEMBL,
CHEMBL5180031,EC50,22.0,C31H42N2O4,Cc1ccccc1N[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@@H]2CCCCO2)[C@H]1c1ccccc1C(C)C,CHEMBL,
CHEMBL5173199,EC50,2110.0,C30H39ClN2O4,COc1ccc(Cl)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL5173199,EC50,1520.0,C30H39ClN2O4,COc1ccc(Cl)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL5173199,EC50,1780.0,C30H39ClN2O4,COc1ccc(Cl)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL5173199,EC50,990.0,C30H39ClN2O4,COc1ccc(Cl)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL5173199,EC50,241.0,C30H39ClN2O4,COc1ccc(Cl)cc1CN[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1,CHEMBL,
CHEMBL4066040,EC50,1000.0,C29H27F2NO7,COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,CHEMBL,
CHEMBL4066040,EC50,35.0,C29H27F2NO7,COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,CHEMBL,
CHEMBL4066040,EC50,28.0,C29H27F2NO7,COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,CHEMBL,
CHEMBL4066040,EC50,130.0,C29H27F2NO7,COc1ccc2c(c1)O[C@H](c1ccc(OC)c(OC)c1)C[C@@H]2NC(=O)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,CHEMBL,
CHEMBL5178232,EC50,0.4,C28H25F2N3O4S,COc1ccc(C)cc1C1(C(=O)NS(=O)(=O)c2cccc3nc(C)ccc23)CC1c1cccc(C(F)F)n1,CHEMBL,
CHEMBL2010601,EC50,22.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,3.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,236.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,1300.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,126.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,11.7,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,49.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,70.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,131.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,68.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL2010601,EC50,34.0,C24H28N2O3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CHEMBL,
CHEMBL1221483,IC50,2500.0,C27H20ClFN4O2,Cn1c(=O)c2c(-c3ccccc3F)n3c(c2n(C)c1=O)C(c1cccc(Cl)c1)Nc1ccccc1-3,CHEMBL,
CHEMBL1222337,IC50,1700.0,C28H24N4O3,COc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL,
CHEMBL1221533,IC50,8000.0,C28H23FN4O2,Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2cccc(F)c2)c1,CHEMBL,
CHEMBL461939,IC50,380.0,C18H10F3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL461939,IC50,300.0,C18H10F3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL461939,IC50,300.0,C18H10F3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL472354,IC50,14000.0,C19H9F6NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL511818,IC50,15000.0,C18H10F3NO3S2,O=C(O)c1ccccc1/C=C1\SC(=S)N(c2cccc(C(F)(F)F)c2)C1=O,CHEMBL,
CHEMBL512017,IC50,15000.0,C18H10F3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)cc1,CHEMBL,
CHEMBL461375,IC50,1400.0,C18H10F3NO4S2,O=C(O)c1cc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)ccc1O,CHEMBL,
CHEMBL452052,IC50,32000.0,C17H11F3N2O3S,O=C(O)c1cc(Nc2nc(-c3cccc(C(F)(F)F)c3)cs2)ccc1O,CHEMBL,
CHEMBL452564,IC50,27000.0,C15H8F3N2NaO5S4,O=C1C(C(=S)Nc2ccc(S(=O)(=O)[O-])o2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+],CHEMBL,
CHEMBL488825,IC50,36000.0,C18H10ClF3N2O4,O=C(O)c1ccc(NC2=C(Cl)C(=O)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL260775,Kd,900.0,C21H17ClN4O2S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)c3ccccc3)nc2C)cs1,CHEMBL,
CHEMBL260775,IC50,6000.0,C21H17ClN4O2S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)c3ccccc3)nc2C)cs1,CHEMBL,
CHEMBL4243267,IC50,58620.0,C21H33NO2,CCCCCCCCC[C@@H]1C[C@H](O)[C@H]2C[N@]1O[C@@H]2c1ccccc1,CHEMBL,
CHEMBL1316007,IC50,3900.0,C19H15ClN4O,Cc1cccc(Nc2ncnc3onc(-c4ccc(Cl)cc4)c23)c1C,CHEMBL,
CHEMBL1221532,IC50,5000.0,C28H24N4O2,Cc1ccccc1-c1c2c(=O)n(C)c(=O)n(C)c2c2n1-c1ccccc1NC2c1ccccc1,CHEMBL,
CHEMBL3323410,IC50,6600.0,C21H18ClN5O3S2,COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)c3ccno3)sc1-2,CHEMBL,
CHEMBL495336,IC50,2300.0,C21H23ClN4O2S2,COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL,
CHEMBL3323399,IC50,8900.0,C20H19ClN4O2S2,COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C3CC3)sc1-2,CHEMBL,
CHEMBL495336,IC50,2300.0,C21H23ClN4O2S2,COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL,
CHEMBL2103870,Kd,72800.0,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,CHEMBL,
CHEMBL2103870,Kd,47800.0,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,CHEMBL,
CHEMBL262627,Kd,700.0,C19H21ClN4O2S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)cs1,CHEMBL,
CHEMBL262627,Kd,700.0,C19H21ClN4O2S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)cs1,CHEMBL,
CHEMBL512539,IC50,18000.0,C18H10F3NO3S2,O=C(O)c1ccccc1/C=C1\SC(=S)N(c2ccccc2C(F)(F)F)C1=O,CHEMBL,
CHEMBL488016,IC50,25000.0,C18H10F3NO4S2,O=C(O)c1cc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)ccc1O,CHEMBL,
CHEMBL520739,IC50,28000.0,C16H9F3N2OS2,O=C1/C(=C/c2ccncc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL,
CHEMBL472191,IC50,11000.0,C17H10F3NO4S2,O=C1/C(=C/c2cc(O)c(O)c(O)c2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL,
CHEMBL461576,IC50,8000.0,C17H8Br2F3NO3S2,O=C1/C(=C/c2cc(Br)c(O)c(Br)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL,
CHEMBL472528,IC50,19000.0,C18H10F3NO3S2,O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)c1,CHEMBL,
CHEMBL470101,IC50,20000.0,C18H9ClF3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)ccc3Cl)C2=O)cc1,CHEMBL,
CHEMBL513075,IC50,12000.0,C18H10F3NO3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)cc1,CHEMBL,
CHEMBL461381,IC50,5000.0,C18H9F4NO3S2,O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccc(F)c(C(F)(F)F)c3)C2=O)c1,CHEMBL,
CHEMBL461940,IC50,760.0,C18H10F3N5OS2,O=C1/C(=C/c2ccc(-c3nn[nH]n3)cc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL,
CHEMBL452565,IC50,27000.0,C18H12F3NO3S2,O=C(O)c1ccc(CC2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
CHEMBL451804,IC50,9000.0,C18H11F3N2O3S3,O=C(O)c1ccc(NC(=S)C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL,
